Quaternary,Quat_code
C51D,3050104
C51E,3050105
C51F,3050106
C51G,3050107
C51H,3050108
C51J,3050109
C51K,3050110
C51L,3050111
C51M,3050112
C52A,3050201
C52B,3050202
C52C,3050203
C52D,3050204
C52E,3050205
C52F,3050206
C52G,3050207
C52H,3050208
C52J,3050209
C52K,3050210
C52L,3050211
C60A,3060001
C60B,3060002
C60C,3060003
C60D,3060004
C60E,3060005
C60F,3060006
C60G,3060007
C60H,3060008
C60J,3060009
C70A,3070001
C70B,3070002
C70C,3070003
C70D,3070004
C70E,3070005
C70F,3070006
C70G,3070007
C70H,3070008
C70J,3070009
C70K,3070010
C81A,3080101
C81B,3080102
C81C,3080103
C81D,3080104
C81E,3080105
C81F,3080106
C81G,3080107
C81H,3080108
C81J,3080109
C81K,3080110
C81L,3080111
C81M,3080112
C82A,3080201
C82B,3080202
C82C,3080203
C82D,3080204
C82E,3080205
C82F,3080206
C82G,3080207
C82H,3080208
C83A,3080301
C83B,3080302
C83C,3080303
C83D,3080304
C83E,3080305
C83F,3080306
C83G,3080307
C83H,3080308
C83J,3080309
C83K,3080310
C83L,3080311
C83M,3080312
C91A,3090101
C91B,3090102
C91C,3090103
C91D,3090104
C91E,3090105
C92A,3090201
C92B,3090202
C92C,3090203
D11A,4010101
D11B,4010102
D11C,4010103
D11D,4010104
D11E,4010105
D11F,4010106
D11G,4010107
D11H,4010108
D11J,4010109
D11K,4010110
D12A,4010201
D12B,4010202
D12C,4010203
D12D,4010204
D12E,4010205
D12F,4010206
D13A,4010301
D13B,4010302
D13C,4010303
D13D,4010304
D13E,4010305
D13F,4010306
D13G,4010307
D13H,4010308
D13J,4010309
D13K,4010310
D13L,4010311
D13M,4010312
D14A,4010401
D14B,4010402
D14C,4010403
D14D,4010404
D14E,4010405
D14F,4010406
D14G,4010407
D14H,4010408
D14J,4010409
D14K,4010410
D15A,4010501
D15B,4010502
D15C,4010503
D15D,4010504
D15E,4010505
D15F,4010506
D15G,4010507
D15H,4010508
D16A,4010601
D16B,4010602
D16C,4010603
D16D,4010604
D16E,4010605
D16F,4010606
D16G,4010607
D16H,4010608
D16J,4010609
D16K,4010610
D16L,4010611
D16M,4010612
D17A,4010701
