Quaternary,Quat_code
W22L,21020211
W23A,21020301
W23B,21020302
W23C,21020303
W23D,21020304
W31A,21030101
W31B,21030102
W31C,21030103
W31D,21030104
W31E,21030105
W31F,21030106
W31G,21030107
W31H,21030108
W31J,21030109
W31K,21030110
W31L,21030111
W32A,21030201
W32B,21030202
W32C,21030203
W32D,21030204
W32E,21030205
W32F,21030206
W32G,21030207
W32H,21030208
W41A,21040101
W41B,21040102
W41C,21040103
W41D,21040104
W41E,21040105
W41F,21040106
W41G,21040107
W42A,21040201
W42B,21040202
W42C,21040203
W42D,21040204
W42E,21040205
W42F,21040206
W42G,21040207
W42H,21040208
W42J,21040209
W42K,21040210
W42L,21040211
W42M,21040212
W43A,21040301
W43B,21040302
W43C,21040303
W43D,21040304
W43E,21040305
W43F,21040306
W44A,21040401
W44B,21040402
W44C,21040403
W44D,21040404
W44E,21040405
W45A,21040501
W45B,21040502
W51A,21050101
W51B,21050102
W51C,21050103
W51D,21050104
W51E,21050105
W51F,21050106
W51G,21050107
W51H,21050108
W52A,21050201
W52B,21050202
W52C,21050203
W52D,21050204
W53A,21050301
W53B,21050302
W53C,21050303
W53D,21050304
W53E,21050305
W53F,21050306
W53G,21050307
W54A,21050401
W54B,21050402
W54C,21050403
W54D,21050404
W54E,21050405
W54F,21050406
W54G,21050407
W55A,21050501
W55B,21050502
W55C,21050503
W55D,21050504
W55E,21050505
W56A,21050601
W56B,21050602
W56C,21050603
W56D,21050604
W56E,21050605
W56F,21050606
W57A,21050701
W57B,21050702
W57C,21050703
W57D,21050704
W57E,21050705
W57F,21050706
W57G,21050707
W57H,21050708
W57J,21050709
W57K,21050710
W60A,21060001
W60B,21060002
W60C,21060003
W60D,21060004
W60E,21060005
W60F,21060006
W60G,21060007
W60H,21060008
W60J,21060009
W60K,21060010
W60L,21060011
W60M,21060012
W70A,21070001
X11A,22010101
X11B,22010102
X11C,22010103
X11D,22010104
X11E,22010105
X11F,22010106
X11G,22010107
X11H,22010108
X11J,22010109
X11K,22010110
X12A,22010201
X12B,22010202
X12C,22010203
X12D,22010204
X12E,22010205
X12F,22010206
X12G,22010207
X12H,22010208
X12J,22010209
X12K,22010210
X13A,22010301
X13B,22010302
X13C,22010303
X13D,22010304
X13E,22010305
X13F,22010306
X13G,22010307
X13H,22010308
X13J,22010309
X13K,22010310
X13L,22010311
X14A,22010401
X14B,22010402
X14C,22010403
X14D,22010404
X14E,22010405
X14F,22010406
X14G,22010407
X14H,22010408
X21A,22020101
X21B,22020102
X21C,22020103
X21D,22020104
X21E,22020105
X21F,22020106
X21G,22020107
X21H,22020108
X21J,22020109
X21K,22020110
X22A,22020201
X22B,22020202
X22C,22020203
X22D,22020204
X22E,22020205
X22F,22020206
X22G,22020207
X22H,22020208
X22J,22020209
X22K,22020210
X23A,22020301
X23B,22020302
X23C,22020303
X23D,22020304
X23E,22020305
X23F,22020306
X23G,22020307
X23H,22020308
X24A,22020401
X24B,22020402
X24C,22020403
X24D,22020404
X24E,22020405
X24F,22020406
X24G,22020407
X24H,22020408
X31A,22030101
X31B,22030102
X31C,22030103
X31D,22030104
X31E,22030105
X31F,22030106
X31G,22030107
X31H,22030108
X31J,22030109
X31K,22030110
X31L,22030111
X31M,22030112
X32A,22030201
X32B,22030202
X32C,22030203
X32D,22030204
X32E,22030205
X32F,22030206
X32G,22030207
X32H,22030208
X32J,22030209
X33A,22030301
X33B,22030302
X33C,22030303
X33D,22030304
X40A,22040001
X40B,22040002
X40C,22040003
X40D,22040004
Y10A,23010001
Y10B,23010002
Y10C,23010003
Y10D,23010004
Y10E,23010005
Y10F,23010006
Y10G,23010007
Y10H,23010008
Y10J,23010009
Y20A,23020001
Y20B,23020002
Y20C,23020003
Y20D,23020004
Y20E,23020005
Y20F,23020006
Y20G,23020007
Y20H,23020008
Y30A,23030001
Y30B,23030002
Y30C,23030003
Y30D,23030004
Y30E,23030005
Y30F,23030006
Y30G,23030007
Y30H,23030008
Y30J,23030009
Y40A,23040001
Y40B,23040002
Y40C,23040003
Y40D,23040004
Y40E,23040005
Y40F,23040006
Y50A,23050001
Y60A,23060001
Y70A,23070001
Y70B,23070002
Z10A,24010001
Z10B,24010002
Z10C,24010003
Z10D,24010004
Z10E,24010005
Z10F,24010006
Z10G,24010007
Z10H,24010008
Z10J,24010009
Z20A,24020001
Z20B,24020002
Z20C,24020003
Z20D,24020004
Z20E,24020005
Z20F,24020006
Z30A,24030001
Z30B,24030002
