GrandID,Latitude,Longitude,Sample Date,P,ETa,PET,Melt,Snow,Temp,P_res,S_res,Ea_res,Qin_res,FracFull,Qout_res
4132,-24.495832443237305,17.879167556762695,2012-05-10,0.0,0.40559133887290955,0.0,0.0,0.0,0.0,0.0,295000000.0,2.798283338546753,29.839542388916016,1.0,29.1437931060791
4849,24.612499237060547,85.47916412353516,2013-02-04,0.0,0.09729276597499847,0.0,0.0,0.0,0.0,0.0,48515368.0,2.7561392784118652,0.061080724000930786,0.8222943544387817,1.3914999961853027
5075,30.329166412353516,104.2874984741211,2014-06-27,3.021512985229492,2.2892394065856934,0.0,0.0,0.0,0.0,4.766330242156982,129911128.0,3.921325206756592,0.07457235455513,0.5680416822433472,1.2774988412857056
592,37.09583282470703,-119.88749694824219,2011-04-12,0.0,3.0159029960632324,0.0,0.2212487757205963,3.1227779388427734,0.0,0.0,110875992.0,3.8521804809570312,12.269124984741211,0.9988828897476196,12.512185096740723
1332,22.929166793823242,-98.7874984741211,2010-11-27,0.05303520709276199,0.1480642408132553,0.0,0.0,0.0,0.0,0.06693229079246521,30882090.0,2.2170345783233643,0.02268221043050289,0.15676185488700867,0.5754462480545044
3169,59.037498474121094,7.145833492279053,2015-11-06,0.5517137050628662,0.19475972652435303,0.0,0.0005876412033103406,0.0,0.0,1.201278567314148,684000000.0,0.6144528985023499,8.007222175598145,1.0,8.196295738220215
4500,-3.8375000953674316,37.462501525878906,2010-05-11,0.18849240243434906,2.8556694984436035,0.0,0.013942676596343517,3.4508156776428223,0.0,0.1436838060617447,870000000.0,3.7954604625701904,115.72779846191406,0.7665198445320129,111.10052490234375
4896,21.612499237060547,75.62083435058594,2012-02-09,0.0,0.04799478128552437,0.0,0.0,0.0,0.0,0.0,45489512.0,3.23272705078125,0.0005304613150656223,0.8065516352653503,0.7815000414848328
2192,42.07083511352539,-74.97916412353516,2014-02-24,1.173044204711914,0.9535104036331177,0.0,0.0,71.08651733398438,0.0,1.8361190557479858,512359616.0,1.3411976099014282,38.70514678955078,0.6812387108802795,20.189626693725586
2441,-25.879167556762695,-54.57083511352539,2013-04-30,1.0917552709579468,2.4775214195251465,16922.0,0.0,0.0,16922.0,1.0010696649551392,1185748224.0,2.6701488494873047,3.5663115978240967,0.9881235361099243,22.08734130859375
