Latitude,Longitude,Sample Date,nir,green,swir16,swir22,NDMI,MNDWI
-22.58277860747475,79.29645262106241,2019-09-09,,,,,,
81.12857515378491,67.42188158872598,2015-11-19,7652.5,8082.0,7251.0,7290.5,0.026939980541483364,0.05419683036587716
41.75890952605292,-145.52848848119123,2017-04-02,,,,,,
17.758527155466588,152.12606576608803,2016-06-26,,,,,,
-61.916644720361425,24.649992776455054,2020-10-14,,,,,,
-61.92098633948353,-49.05881239115367,2022-07-28,32124.5,40798.0,13691.0,12498.5,0.4023420021608399,0.49747655490098824
-79.5449498097241,92.3538900583104,2023-09-08,38582.5,41499.0,12187.0,13197.0,0.5199086065452673,0.5459896434824711
65.91170623948834,-87.34843497541175,2020-01-30,43750.0,46312.5,15689.0,16246.5,0.47209744443883567,0.49391546978702044
18.200702113777584,69.66354133667535,2020-09-09,,,,,,
37.45306400328819,-165.703965273991,2017-06-03,,,,,,
-86.29479102675556,122.1868935393379,2015-07-10,,,,,,
84.58377338915898,-18.658495072325344,2016-02-19,,,,,,
59.839675344075914,49.209449168859024,2020-01-13,13554.0,9828.0,10262.0,8922.0,0.1382264024185416,-0.021602787456445886
-51.77896007791029,-100.35438486959389,2022-08-26,,,,,,
-57.27150590272189,63.74653655704127,2019-12-19,,,,,,
-56.98718822638191,98.00649932157957,2019-10-27,,,,,,
-35.23639626728321,-9.643252721616458,2017-12-05,,,,,,
4.456157693802812,42.381692662245946,2023-08-27,16875.0,12163.0,19404.0,16570.5,-0.06970974944182566,-0.22938511736940403
-12.249896644419163,-15.722667423936517,2019-09-18,,,,,,
-37.57875476435245,141.87289293282439,2016-01-10,,,,,,
20.133521050028303,-0.7670950148451006,2016-07-11,20943.0,14890.0,26955.0,23843.0,-0.1255167230364522,-0.28832596487035417
-64.89110508263246,123.0511352503748,2018-07-04,38706.5,46786.5,17333.5,16309.0,0.38138829407565955,0.4593418590143474
-37.41396326366073,108.48674097728949,2020-04-28,,,,,,
-24.054868207135492,-32.21826431459165,2019-05-16,,,,,,
-7.907402840933533,-97.16958293130898,2018-02-02,,,,,,
51.331673050742445,-33.810432278482445,2018-09-22,,,,,,
-54.058719211495244,117.43825527907926,2018-08-17,,,,,,
2.562198914450089,-98.05228710501875,2018-01-05,,,,,,
16.634622395167643,8.797084508789762,2019-03-15,26310.0,18634.5,31014.0,29282.0,-0.08205987021142962,-0.2493428804495599
-81.63892571040041,110.19482926586909,2018-06-07,37368.5,41772.5,10492.0,11104.5,0.5615591145098765,0.5985037645055428
19.358073342258905,-52.748108953783635,2019-08-30,,,,,,
-59.30565773628752,51.195469320971064,2022-03-10,,,,,,
-78.29071326264969,-91.57263334242677,2015-02-01,45378.0,50796.0,9435.5,10915.5,0.6557234987731112,0.6866921793413734
80.79939670559999,-140.65939966746242,2019-06-20,,,,,,
83.81376595342068,105.97832103342827,2015-02-27,,,,,,
55.511522660963,-144.37129557286553,2018-02-01,,,,,,
-35.16952154879328,-82.30269777134954,2015-11-08,,,,,,
-72.4190194788509,127.83939191907844,2019-10-19,39005.0,42137.5,10820.0,11560.0,0.5656798795785237,0.5913704385592209
33.16194477218824,-55.27105665167981,2023-08-05,,,,,,
-10.772551126871765,170.296325825098,2020-06-24,7247.0,7427.5,7326.0,7323.0,-0.005420984011528131,0.006879723455451202
-68.03311772793981,172.7043605185895,2022-06-30,,,,,,
-0.8681561799713666,-83.42063263671959,2018-10-29,,,,,,
-83.81006619926069,-165.24783999003944,2019-11-18,37579.5,42288.0,9468.0,9733.5,0.5975131516021029,0.6341293763041954
73.67767237418077,73.82278231393649,2021-04-01,38214.5,42425.5,8330.5,9166.5,0.6420453324739486,0.6717432421782633
-43.41960331199695,-17.64485904659626,2022-05-14,,,,,,
29.254011183716756,-143.72897617455254,2023-09-19,,,,,,
-33.89200630390603,74.70821483209541,2018-11-13,,,,,,
3.6122438120059464,-168.77703271970836,2018-12-02,,,,,,
8.407850281790337,133.27080857720716,2023-07-23,,,,,,
-56.72619800540513,-130.08508951921067,2017-03-12,,,,,,
84.52523299762053,-134.167723651179,2015-08-27,,,,,,
49.52390820500062,-116.75797273130956,2019-11-11,8876.5,7649.0,8417.0,8028.5,0.026570676843900735,-0.047802813394746374
79.10980948155404,165.69588905714394,2018-08-11,,,,,,
71.06892307697679,69.54096969138456,2015-04-22,44779.0,48310.0,10130.0,10781.0,0.631025879181918,0.6533196440793966
17.621996185995325,108.49375276690921,2023-08-26,9969.5,9671.0,10399.5,9939.0,-0.02111051107074466,-0.03629705288856762
75.93736230416103,-36.85140513620891,2021-11-28,36781.5,39890.5,13097.0,13770.5,0.4748438706055706,0.5056569945741911
-74.0713496306545,-58.927418098216,2021-06-09,35748.0,45600.5,12144.0,14023.0,0.49285893259834523,0.5793885131917316
-54.72308476455387,-95.58575755805882,2018-08-21,,,,,,
-81.85908799610314,-6.966709807532783,2015-10-17,37319.0,41161.0,11689.0,12652.0,0.5229758406790718,0.5576537369914842
-31.440540462612418,18.65834407230066,2021-03-05,17367.0,13054.5,20933.0,19003.0,-0.09310704960835485,-0.23180581095991104
-20.038087855893238,47.438943714991936,2022-12-25,14732.0,10112.0,16620.0,13064.5,-0.06021944373564666,-0.24345353882986592
-41.15717428069873,-87.43733856046998,2019-12-15,,,,,,
59.17275164734728,161.51546912507663,2016-08-04,14802.0,9861.0,15418.0,12330.5,-0.02038385175380536,-0.21982673365243793
-25.78440119515393,-118.8869406454311,2016-01-05,,,,,,
-39.43178825627146,167.63514291590843,2015-08-08,,,,,,
7.685294968484724,-174.65179589729863,2022-10-20,,,,,,
-64.63363950454273,-6.794750945935579,2022-11-06,,,,,,
54.39545653572714,-59.9875782780374,2020-03-11,36561.0,36929.0,12064.0,11227.0,0.5037943444730066,0.5075214826607872
-76.58088413764125,-18.315570985109716,2015-12-15,38049.0,42116.0,9449.0,9765.0,0.6021306160259366,0.6335111024919992
87.63964858809311,25.439248433084053,2021-04-21,,,,,,
49.00405847339834,-23.18790311542475,2016-03-27,,,,,,
-54.23117732384897,-30.655133891425812,2020-12-29,,,,,,
-89.00601891775156,83.78042954879035,2023-08-07,,,,,,
56.78305712187015,66.91545903112727,2015-03-30,18413.5,10547.5,9866.0,9121.5,0.3022507470075486,0.03338476988267552
37.23432189257108,119.97766153290524,2017-05-20,18608.5,10647.0,16744.5,14215.0,0.05272536984131459,-0.22260555281747907
41.221290247377716,-90.0147667537816,2018-03-05,13290.0,10199.0,16221.0,13408.0,-0.0993188980380194,-0.22793338380015055
48.82866240347023,39.43026351146289,2020-08-04,14191.5,9984.0,16174.5,13337.0,-0.06530329974313355,-0.23665347783703106
-76.67196268786374,30.670122741427388,2020-02-18,37765.0,41206.0,13074.0,13945.0,0.485670449851491,0.5182756079587315
-25.47616886203093,-46.89438808583205,2016-06-06,7257.5,7443.5,7386.5,7371.0,-0.008809068560502535,0.0038435603506405676
-69.14356928547664,-5.019284915034872,2022-05-31,13446.0,12094.0,16045.0,16177.0,-0.08812858160116617,-0.14041010696897496
65.35861665760683,-67.03842840993765,2023-03-18,47229.0,52263.0,12437.0,13641.5,0.5831126604766523,0.615548686244203
22.193662828960427,-128.93601685788533,2017-06-28,,,,,,
-30.438355526523146,-103.03156416141618,2016-03-17,,,,,,
-78.55949694851574,-142.0150872955676,2015-02-07,45029.0,52252.5,7157.5,9173.0,0.7256953426652473,0.7590472984346057
-34.0231820911808,65.90504706844469,2020-02-24,,,,,,
