Latitude,Longitude,Sample Date,nir,green,swir16,swir22,NDMI,MNDWI
-22.58277860747475,51.1313926155436,2002-05-22,7962.0,8326.0,7835.0,7785.0,0.008039501171108387,0.030381783305488335
81.12857515378491,-149.70961260178242,2004-12-26,,,,,,
41.75890952605292,-121.81366292593904,2003-07-20,,,,,,
17.758527155466588,143.47950786974852,2005-10-10,7555.0,7907.0,7448.0,7367.0,0.007131906951942897,0.029892543145555
-61.916644720361425,38.314461477452376,2001-08-18,,,,,,
-61.92098633948353,-176.68906141801332,2005-03-18,,,,,,
-79.5449498097241,-143.47024456822845,2001-12-29,35661.0,39682.0,9548.0,9131.0,0.5776062288482369,0.6121064391631107
65.91170623948834,58.86063687890009,2003-09-27,16570.0,8790.0,11949.0,9064.0,0.16203232932430955,-0.15232171271517359
18.200702113777584,-178.17782981536126,2001-01-31,,,,,,
37.45306400328819,-122.10910148970048,2001-11-29,13803.0,11230.5,13177.0,11056.5,0.02320237212750177,-0.07975007682064907
-86.29479102675556,17.544164171971005,2006-02-02,,,,,,
84.58377338915898,69.08227116936958,2004-06-23,,,,,,
59.839675344075914,54.70605342093619,2001-01-30,12027.5,8736.0,12173.5,10196.5,-0.00603280856162966,-0.16439895741170205
-51.77896007791029,-99.26304859419848,2006-10-28,,,,,,
-57.27150590272189,76.3845196851129,2000-03-16,,,,,,
-56.98718822638191,-94.59032850115197,2000-09-21,,,,,,
-35.23639626728321,-62.856108662663615,2006-11-07,,,,,,
4.456157693802812,88.7369058424887,2004-12-24,7553.0,8063.0,7434.0,7359.0,0.007940214852872437,0.040588501000193324
-12.249896644419163,53.86784365699728,2001-12-18,10771.0,11000.0,10660.0,10304.5,0.005179412999859992,0.01569713758079402
-37.57875476435245,125.72042777790405,2002-04-30,,,,,,
20.133521050028303,56.740641228123614,2003-10-22,24019.0,17955.0,28395.0,24045.5,-0.08348914412179936,-0.22524271844660146
-64.89110508263246,24.59109720076978,2000-05-23,,,,,,
-37.41396326366073,-146.2770835818867,2002-06-03,,,,,,
-24.054868207135492,-47.622310898603935,2001-01-30,16327.0,8302.5,11509.5,8832.0,0.17306414240295953,-0.16187159297395437
-7.907402840933533,-84.52714763457884,2004-02-01,,,,,,
51.331673050742445,-92.16372838352991,2003-03-13,35060.0,65535.0,12513.0,11488.0,0.4739453051100404,0.6793511685116842
-54.058719211495244,170.2837997108804,2002-11-28,,,,,,
2.562198914450089,-38.484819119966254,2005-11-26,,,,,,
16.634622395167643,141.13675986376077,2002-12-01,,,,,,
-81.63892571040041,47.20990535901464,2003-04-24,37455.0,40387.0,10674.0,10378.0,0.5564420619584853,0.5819118309472971
19.358073342258905,106.13206927499343,2006-09-11,8046.0,8677.0,7854.0,7820.0,0.012075471698113132,0.04978525195087987
-59.30565773628752,0.9493535178691603,2001-09-25,,,,,,
-78.29071326264969,27.68539846548928,2003-03-02,,,,,,
80.79939670559999,-2.693630225208996,2003-05-23,7989.0,8732.5,7327.5,7194.5,0.04318871804916238,0.0874844333748438
83.81376595342068,-109.71252439270398,2002-01-02,,,,,,
55.511522660963,80.08276149414192,2000-08-22,8421.0,11427.0,7364.0,7222.0,0.06696230598669581,0.21622053110531525
-35.16952154879328,-78.9219495212919,2002-01-20,,,,,,
-72.4190194788509,-171.24625208467663,2002-08-11,,,,,,
